query_gene	annot_source	annot	annot_geneonly
LOC101682133	entrez_desc	immunoglobulin lambda variable 3-1-like	NA
LOC101682134	kristen_mm_hs_ortholog	Olfr522	Olfr522
LOC101682135	kristen_mm_hs_ortholog	OR7A10	OR7A10
LOC101682139	entrez_desc	importin subunit alpha-1-like	NA
LOC101682147	kristen_mm_hs_ortholog	ARPIN-AP3S2	ARPIN-AP3S2
LOC101682149	entrez_alias	CTRC	CTRC
LOC101682153	kristen_mm_hs_ortholog	PAIP2B	PAIP2B
LOC101682163	entrez_desc	acyl carrier protein, mitochondrial	NA
LOC101682169	kristen_mm_hs_ortholog	Olfr603	Olfr603
LOC101682172	NA	NA	NA
LOC101682177	entrez_alias	ENPEP	ENPEP
LOC101682184	kristen_mm_hs_ortholog	Olfr972	Olfr972
LOC101682187	NA	NA	NA
LOC101682196	entrez_desc	tyrosine-protein phosphatase non-receptor type 23-like	NA
LOC101682197	kristen_mm_hs_ortholog	IL18	IL18
LOC101682198	entrez_desc	CXXC-type zinc finger protein 1-like	NA
LOC101682199	kristen_mm_hs_ortholog	S100A11	S100A11
LOC101682202	kristen_mm_hs_ortholog	Fsip2l	Fsip2l
LOC101682210	kristen_mm_hs_ortholog	OR4C16	OR4C16
LOC101682214	kristen_mm_hs_ortholog	OR4C16	OR4C16
LOC101682224	entrez_alias	SYNJ2BP	SYNJ2BP
LOC101682235	NA	NA	NA
LOC101682236	NA	NA	NA
LOC101682237	entrez_desc	60S ribosomal protein L17-like	NA
LOC101682266	entrez_alias	DNMBP	DNMBP
LOC101682268	entrez_desc	keratin, type I cuticular Ha1	NA
LOC101682276	NA	NA	NA
LOC101682279	entrez_desc	olfactory receptor 10R2-like	NA
LOC101682288	kristen_mm_hs_ortholog	Olfr1009	Olfr1009
LOC101682293	entrez_desc	putative vomeronasal receptor-like protein 4	NA
LOC101682294	kristen_mm_hs_ortholog	Olfr285	Olfr285
LOC101682296	entrez_desc	zinc finger protein 252	NA
LOC101682302	entrez_alias	CEACAM1	CEACAM1
LOC101682309	kristen_mm_hs_ortholog	Olfr815	Olfr815
LOC101682312	NA	NA	NA
LOC101682709	entrez_desc	Ig lambda chain V-IV region X-like	NA
LOC101682325	kristen_mm_hs_ortholog	SPTLC1	SPTLC1
LOC101682329	kristen_mm_hs_ortholog	OR4X2	OR4X2
LOC101682339	NA	NA	NA
LOC101682341	NA	NA	NA
LOC101682345	NA	NA	NA
LOC101682357	entrez_alias	ITPRIP	ITPRIP
LOC101682365	entrez_desc	40S ribosomal protein S24-like	NA
LOC101682383	NA	NA	NA
LOC101682384	entrez_desc	T cell receptor alpha variable 13-1-like	NA
LOC101682390	entrez_alias	CLECL1	CLECL1
LOC101682394	kristen_mm_hs_ortholog	Olfr509	Olfr509
LOC101682400	entrez_alias	TRIM39	TRIM39
LOC101682401	kristen_mm_hs_ortholog	OR5T1	OR5T1
LOC101682402	entrez_desc	ubiquitin-conjugating enzyme E2 N	NA
LOC101682403	entrez_desc	immunoglobulin lambda variable 3-9-like	NA
LOC101682407	kristen_mm_hs_ortholog	KLRC1	KLRC1
LOC101682410	kristen_mm_hs_ortholog	CLEC10A	CLEC10A
LOC101682412	NA	NA	NA
LOC101682414	NA	NA	NA
LOC101682420	NA	NA	NA
LOC101682423	NA	NA	NA
LOC101682427	NA	NA	NA
LOC101682432	kristen_mm_hs_ortholog	COX7A1	COX7A1
LOC101682433	entrez_alias	FAM211B	FAM211B
LOC101682451	entrez_alias	LNPEP	LNPEP
LOC101682452	kristen_mm_hs_ortholog	COX11	COX11
LOC101682453	NA	NA	NA
LOC101682454	kristen_mm_hs_ortholog	FABP5	FABP5
LOC101682456	entrez_desc	two pore calcium channel protein 1	NA
LOC101682458	NA	NA	NA
LOC101682464	kristen_mm_hs_ortholog	OR8G2P	OR8G2P
LOC101682472	NA	NA	NA
LOC101682473	entrez_desc	zinc finger protein 665-like	NA
LOC101682482	entrez_alias	SLC4A1AP	SLC4A1AP
LOC101682496	entrez_desc	olfactory receptor 4C11-like	NA
LOC101682499	kristen_mm_hs_ortholog	MORF4L2	MORF4L2
LOC101682500	kristen_mm_hs_ortholog	OR4C46	OR4C46
LOC101682501	entrez_desc	maestro heat-like repeat-containing protein family member 1	NA
LOC101682503	kristen_mm_hs_ortholog	CYB561D2	CYB561D2
LOC101682504	entrez_alias	SCAP	SCAP
LOC101682507	entrez_alias	PRSS44	PRSS44
LOC101682522	NA	NA	NA
LOC101682523	entrez_desc	60S ribosomal protein L39	NA
LOC101682534	NA	NA	NA
LOC101682538	entrez_desc	odorant-binding protein	NA
LOC101682545	entrez_desc	vacuolar protein sorting-associated protein 4B-like	NA
LOC101682547	entrez_desc	vomeromodulin	NA
LOC101682551	kristen_mm_hs_ortholog	S100A10	S100A10
LOC101682564	kristen_mm_hs_ortholog	KRT33A	KRT33A
LOC101682566	entrez_desc	40S ribosomal protein S6-like	NA
LOC101682579	kristen_mm_hs_ortholog	OR6Y1	OR6Y1
LOC101682584	kristen_mm_hs_ortholog	Fads2b	Fads2b
LOC101682592	entrez_desc	putative vomeronasal receptor-like protein 4	NA
LOC101682594	kristen_mm_hs_ortholog	Olfr285	Olfr285
LOC101682595	entrez_desc	hemoglobin subunit epsilon-2	NA
LOC101682597	entrez_desc	translation initiation factor IF-2-like	NA
LOC101682607	kristen_mm_hs_ortholog	Olfr792	Olfr792
LOC101682610	NA	NA	NA
LOC101682611	entrez_alias	RBM4B	RBM4B
LOC101682634	entrez_desc	olfactory receptor 4B1-like	NA
LOC101682636	entrez_alias	PRCP	PRCP
LOC101682836	NA	NA	NA
LOC101682647	entrez_desc	casein kinase II subunit alpha'-like	NA
LOC101682662	kristen_mm_hs_ortholog	EIF4E	EIF4E
LOC101682667	entrez_alias	ZNF343	ZNF343
LOC101682672	NA	NA	NA
LOC101682673	NA	NA	NA
LOC101682680	entrez_desc	translation initiation factor IF-2-like	NA
LOC101682684	entrez_alias	TMEM14C	TMEM14C
LOC101682685	entrez_alias	CENPBD1	CENPBD1
LOC101682693	entrez_desc	T cell receptor alpha variable 9-2-like	NA
LOC101682699	kristen_mm_hs_ortholog	Olfr509	Olfr509
LOC101682702	NA	NA	NA
LOC101682707	kristen_mm_hs_ortholog	OR8H1	OR8H1
LOC101682709	entrez_desc	immunoglobulin lambda-1 light chain-like	NA
LOC101682727	entrez_alias	SULT1C3	SULT1C3
LOC101682757	kristen_mm_hs_ortholog	SENP2	SENP2
LOC101682763	NA	NA	NA
LOC101682764	kristen_mm_hs_ortholog	Olfr959	Olfr959
LOC101682769	NA	NA	NA
LOC101682771	NA	NA	NA
LOC101682772	entrez_alias	MUCL1	MUCL1
LOC101682773	entrez_desc	zinc finger protein 300	NA
LOC101682781	entrez_desc	small nuclear ribonucleoprotein E-like	NA
LOC101682787	entrez_desc	RNA polymerase-associated protein LEO1	NA
LOC101682792	NA	NA	NA
LOC101682805	NA	NA	NA
LOC101682808	entrez_desc	protein ATP6V1FNB	NA
LOC101682821	entrez_alias	ANPEP	ANPEP
LOC101682832	kristen_mm_hs_ortholog	H1-0	H1-0
LOC101682833	entrez_desc	hsc70-interacting protein-like	NA
LOC101682836	entrez_alias	CYTIP	CYTIP
LOC101682837	entrez_alias	SCN2A	SCN2A
LOC101682845	NA	NA	NA
LOC101682847	NA	NA	NA
LOC101682861	entrez_alias	KRT33A	KRT33A
LOC101682868	kristen_mm_hs_ortholog	Skp1	Skp1
LOC101682870	NA	NA	NA
LOC101682879	kristen_mm_hs_ortholog	OR10X1	OR10X1
LOC101682884	entrez_desc	ubiquitin-60S ribosomal protein L40-like	NA
LOC101682885	entrez_desc	zinc finger and SCAN domain-containing protein 4-like	NA
LOC101692272	entrez_desc	butyrophilin subfamily 2 member A2-like	NA
LOC101682891	NA	NA	NA
LOC101682892	entrez_desc	olfactory receptor 8S1-like	NA
LOC101682893	entrez_alias	HBB	HBB
LOC101682895	NA	NA	NA
LOC101682896	NA	NA	NA
LOC101682904	kristen_mm_hs_ortholog	OR4A16	OR4A16
LOC101670652	entrez_desc	butyrophilin-like protein 1	NA
LOC101682907	entrez_desc	HLA class II histocompatibility antigen, DQ alpha 2 chain	NA
LOC101682908	NA	NA	NA
LOC101682921	entrez_desc	serine/threonine-protein kinase MRCK alpha-like	NA
LOC101682924	NA	NA	NA
LOC101682929	NA	NA	NA
LOC101682948	entrez_desc	2'-5'-oligoadenylate synthase 3-like	NA
LOC101682963	NA	NA	NA
LOC101682773	entrez_desc	zinc finger protein 300-like	NA
LOC101682968	kristen_mm_hs_ortholog	SF3B4	SF3B4
LOC101682992	entrez_alias	CLEC2B	CLEC2B
LOC101682998	entrez_desc	T cell receptor beta variable 5-1-like	NA
LOC101683001	entrez_desc	olfactory receptor 8I2	NA
LOC101683011	entrez_desc	myotubularin-related protein 9-like	NA
LOC101683013	entrez_alias	AKR7A2	AKR7A2
LOC101683016	entrez_alias	HAMP	HAMP
LOC101683017	kristen_mm_hs_ortholog	C19orf12	C19orf12
LOC101683018	kristen_mm_hs_ortholog	SUSD2	SUSD2
LOC101683029	kristen_mm_hs_ortholog	Gucy2d	Gucy2d
LOC101683032	kristen_mm_hs_ortholog	Slc7a15	Slc7a15
LOC101683033	entrez_desc	10 kDa heat shock protein, mitochondrial-like	NA
LOC101683035	NA	NA	NA
LOC101683036	NA	NA	NA
LOC101683047	kristen_mm_hs_ortholog	RPEL1	RPEL1
LOC101683053	kristen_mm_hs_ortholog	Olfr974	Olfr974
LOC101683054	kristen_mm_hs_ortholog	GAPDH	GAPDH
LOC101683055	kristen_mm_hs_ortholog	A930007A09Rik	A930007A09Rik
LOC101683060	NA	NA	NA
LOC101683067	NA	NA	NA
LOC101683078	NA	NA	NA
LOC101683085	entrez_desc	probable non-functional immunoglobulin lambda variable 11-55	NA
LOC101683090	kristen_mm_hs_ortholog	Adam6b	Adam6b
LOC101683092	entrez_desc	olfactory receptor 4P4-like	NA
LOC101683095	NA	NA	NA
LOC101683102	kristen_mm_hs_ortholog	COPG1	COPG1
LOC101683119	kristen_mm_hs_ortholog	UBE2Z	UBE2Z
LOC101683137	kristen_mm_hs_ortholog	T2	T2
LOC101683142	NA	NA	NA
LOC101683144	NA	NA	NA
LOC101683148	entrez_desc	keratin-associated protein 17-1	NA
LOC101683149	kristen_mm_hs_ortholog	PRSS27	PRSS27
LOC101683158	kristen_mm_hs_ortholog	OR10Z1	OR10Z1
LOC101683159	NA	NA	NA
LOC101683162	kristen_mm_hs_ortholog	ZNF549	ZNF549
LOC101683164	entrez_desc	vomeronasal type-1 receptor 1-like	NA
LOC101683170	kristen_mm_hs_ortholog	OR8S1	OR8S1
LOC101683176	kristen_mm_hs_ortholog	Rpl35a	Rpl35a
LOC101683184	kristen_mm_hs_ortholog	Olfr789	Olfr789
LOC101683186	kristen_mm_hs_ortholog	BEX1	BEX1
LOC101683187	entrez_desc	olfactory receptor 2AE1	NA
LOC106003286	entrez_desc	collagen alpha-4(VI) chain-like	NA
LOC101683191	entrez_desc	SLA class II histocompatibility antigen, DQ haplotype D alpha chain	NA
LOC101683200	kristen_mm_hs_ortholog	IFNA1	IFNA1
LOC101683201	NA	NA	NA
LOC101683204	kristen_mm_hs_ortholog	Spata31	Spata31
LOC101683209	NA	NA	NA
LOC101683215	NA	NA	NA
LOC101683217	entrez_desc	antigen WC1.1	NA
LOC101683218	entrez_desc	DNA damage-regulated autophagy modulator protein 2-like	NA
LOC101683221	kristen_mm_hs_ortholog	UQCRQ	UQCRQ
LOC101683223	entrez_alias	IL1RAP	IL1RAP
LOC101683227	NA	NA	NA
LOC101683238	NA	NA	NA
LOC101683242	entrez_alias	TECTA	TECTA
LOC101683244	NA	NA	NA
LOC101683252	NA	NA	NA
LOC101683862	NA	NA	NA
LOC101683266	entrez_desc	olfactory receptor 1052-like	NA
LOC101683267	entrez_alias	ACOT4	ACOT4
LOC101683268	entrez_desc	T cell receptor alpha variable 13-1-like	NA
LOC101683272	NA	NA	NA
LOC101683274	kristen_mm_hs_ortholog	Gm13539	Gm13539
LOC101683278	kristen_mm_hs_ortholog	OR2D3	OR2D3
LOC101683285	entrez_desc	olfactory receptor 1052-like	NA
LOC101683288	NA	NA	NA
LOC101683290	kristen_mm_hs_ortholog	NXF2B	NXF2B
LOC101683301	NA	NA	NA
LOC101683303	entrez_alias	CATIP	CATIP
LOC101683305	kristen_mm_hs_ortholog	TMEM106B	TMEM106B
LOC101683308	entrez_desc	aflatoxin B1 aldehyde reductase member 2-like	NA
LOC101683312	entrez_alias	RNF103	RNF103
LOC101683313	kristen_mm_hs_ortholog	C19orf12	C19orf12
LOC101683315	kristen_mm_hs_ortholog	PLP2	PLP2
LOC101683316	NA	NA	NA
LOC101683322	kristen_mm_hs_ortholog	4931406B18Rik	4931406B18Rik
LOC101683335	kristen_mm_hs_ortholog	Nr1h5	Nr1h5
LOC101683349	kristen_mm_hs_ortholog	COX15	COX15
LOC101683352	kristen_mm_hs_ortholog	OR8D1	OR8D1
LOC101683361	kristen_mm_hs_ortholog	UQCRB	UQCRB
LOC101683368	kristen_mm_hs_ortholog	CST3	CST3
LOC101683376	NA	NA	NA
LOC101683378	kristen_mm_hs_ortholog	Hbb-bs	Hbb-bs
LOC101683386	entrez_desc	olfactory receptor 4C6-like	NA
LOC101683387	kristen_mm_hs_ortholog	Adam6b	Adam6b
LOC101683388	entrez_desc	olfactory receptor 4P4-like	NA
LOC101683581	NA	NA	NA
LOC101683392	kristen_mm_hs_ortholog	OR4C5	OR4C5
LOC101683400	NA	NA	NA
LOC101683404	entrez_alias	HSF2BP	HSF2BP
LOC101683406	NA	NA	NA
LOC101683416	NA	NA	NA
LOC101683420	NA	NA	NA
LOC101683423	kristen_mm_hs_ortholog	PFDN1	PFDN1
LOC101683429	kristen_mm_hs_ortholog	MRPL48	MRPL48
LOC101683431	NA	NA	NA
LOC101683439	entrez_desc	putative monooxygenase p33MONOX	NA
LOC101683447	NA	NA	NA
LOC101683451	NA	NA	NA
LOC101683467	entrez_desc	zinc finger protein 599-like	NA
LOC101683862	NA	NA	NA
LOC101683478	NA	NA	NA
LOC101683078	entrez_desc	multiple epidermal growth factor-like domains protein 6	NA
LOC101683488	kristen_mm_hs_ortholog	NRAS	NRAS
LOC101683498	entrez_desc	olfactory receptor 4A47-like	NA
LOC101683501	kristen_mm_hs_ortholog	HLA-DQB2	HLA-DQB2
LOC101683510	entrez_desc	60S ribosomal protein L31-like	NA
LOC101683519	entrez_alias	ABCF2	ABCF2
LOC101683536	NA	NA	NA
LOC101683542	entrez_alias	GSTO2	GSTO2
LOC101683545	NA	NA	NA
LOC101683546	entrez_desc	signal-regulatory protein beta-1-like	NA
LOC101683551	entrez_desc	AP-3 complex subunit sigma-1-like	NA
LOC101683557	kristen_mm_hs_ortholog	Spata31	Spata31
LOC101683564	kristen_mm_hs_ortholog	RFPL4A	RFPL4A
LOC101683566	entrez_desc	olfactory receptor 476-like	NA
LOC101683568	entrez_desc	T cell receptor alpha variable 22-like	NA
LOC101683574	kristen_mm_hs_ortholog	OR2D2	OR2D2
LOC101683578	kristen_mm_hs_ortholog	Olfr1106	Olfr1106
LOC101683580	entrez_desc	olfactory receptor 5AL1-like	NA
LOC101683581	entrez_desc	nucleoporin p58/p45-like	NA
LOC101683586	entrez_alias	DAP	DAP
LOC101683588	NA	NA	NA
LOC101683606	entrez_alias	DDT	DDT
LOC101683630	NA	NA	NA
LOC101683633	entrez_alias	TAPBP	TAPBP
LOC101683647	kristen_mm_hs_ortholog	Olfr922	Olfr922
LOC101683655	entrez_alias	SLX4IP	SLX4IP
LOC101683662	NA	NA	NA
LOC101683862	NA	NA	NA
LOC101683672	kristen_mm_hs_ortholog	SUCLA2	SUCLA2
LOC101683676	entrez_desc	olfactory receptor 52A1-like	NA
LOC101682709	entrez_desc	Ig lambda chain V-I region BL2-like	NA
LOC101683689	NA	NA	NA
LOC101683690	kristen_mm_hs_ortholog	Olfr1208	Olfr1208
LOC101683693	entrez_alias	GCNT7	GCNT7
LOC101683696	entrez_alias	TNFSF12	TNFSF12
LOC101683700	kristen_mm_hs_ortholog	PPP1R14B	PPP1R14B
LOC101683702	entrez_alias	PIGP	PIGP
LOC101683715	NA	NA	NA
LOC101683716	kristen_mm_hs_ortholog	Cbx3	Cbx3
LOC101683725	NA	NA	NA
LOC101683733	NA	NA	NA
LOC101683770	entrez_alias	ZNF419	ZNF419
LOC101679570	entrez_desc	histone H4-like	NA
LOC101683783	entrez_alias	LCN1	LCN1
LOC101683784	entrez_alias	CLDN22	CLDN22
LOC101683785	kristen_mm_hs_ortholog	BTG3	BTG3
LOC101683795	entrez_desc	olfactory receptor 4A47-like	NA
LOC101683796	NA	NA	NA
LOC101683797	kristen_mm_hs_ortholog	FTMT	FTMT
LOC101683799	entrez_desc	protein C10-like	NA
LOC101683805	NA	NA	NA
LOC101683812	entrez_desc	T cell receptor gamma constant 1-like	NA
LOC101683827	NA	NA	NA
LOC101683850	entrez_desc	mediator of RNA polymerase II transcription subunit 7-like	NA
LOC101683851	NA	NA	NA
LOC101683861	entrez_desc	rho-related GTP-binding protein RhoG-like	NA
LOC101683862	NA	NA	NA
LOC101683863	entrez_desc	olfactory receptor 6Q1	NA
LOC101683867	kristen_mm_hs_ortholog	OR2D2	OR2D2
LOC101683869	kristen_mm_hs_ortholog	OR5AS1	OR5AS1
LOC101683870	kristen_mm_hs_ortholog	Adam6b	Adam6b
LOC101683872	kristen_mm_hs_ortholog	OR8U3	OR8U3
LOC101683557	entrez_desc	spermatogenesis-associated protein 31E1-like	NA
LOC101683874	entrez_desc	olfactory receptor 9K2-like	NA
LOC101683886	NA	NA	NA
LOC101683892	entrez_desc	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	NA
LOC101683918	kristen_mm_hs_ortholog	OR1A1	OR1A1
LOC101683920	entrez_alias	ZNF57	ZNF57
LOC101683929	kristen_mm_hs_ortholog	Olfr915	Olfr915
LOC101683941	entrez_desc	60S acidic ribosomal protein P1-like	NA
LOC101683946	entrez_desc	Molybdenum cofactor synthesis protein cinnamon	NA
LOC101683947	entrez_desc	centromere protein V-like protein 1	NA
LOC101683950	entrez_desc	olfactory receptor 52A1-like	NA
LOC101683959	kristen_mm_hs_ortholog	PRSS3	PRSS3
LOC101683960	kristen_mm_hs_ortholog	OR2B11	OR2B11
LOC101683965	entrez_desc	olfactory receptor 4P4-like	NA
LOC101683966	kristen_mm_hs_ortholog	Htr5b	Htr5b
LOC101683973	entrez_alias	CHERP	CHERP
LOC101683974	entrez_alias	CNBP	CNBP
LOC101683976	kristen_mm_hs_ortholog	SDCBP	SDCBP
LOC101683990	entrez_desc	cytochrome c oxidase subunit 4 isoform 1, mitochondrial-like	NA
LOC101683995	entrez_desc	binder of sperm protein homolog 2-like	NA
LOC101683998	entrez_desc	granulocyte-macrophage colony-stimulating factor receptor subunit alpha	NA
LOC101684020	NA	NA	NA
LOC101684028	kristen_mm_hs_ortholog	LARP7	LARP7
LOC101684032	kristen_mm_hs_ortholog	Olfr421-ps1	Olfr421-ps1
LOC101684034	NA	NA	NA
LOC101684035	entrez_desc	zinc finger protein 256	NA
LOC101683862	NA	NA	NA
LOC101684039	kristen_mm_hs_ortholog	H2AL1RP	H2AL1RP
LOC101684050	NA	NA	NA
LOC101684051	entrez_alias	CLDN24	CLDN24
LOC101684052	kristen_mm_hs_ortholog	CYP4V2	CYP4V2
LOC101684072	entrez_desc	bicaudal D-related protein homolog	NA
LOC101684074	kristen_mm_hs_ortholog	IFNA1	IFNA1
LOC101684076	NA	NA	NA
LOC101684077	entrez_desc	Ig kappa chain V-VI region XRPC 24-like	NA
LOC101677814	NA	NA	NA
LOC101684083	kristen_mm_hs_ortholog	WDR46	WDR46
LOC101684089	NA	NA	NA
LOC101684103	kristen_mm_hs_ortholog	CYB561A3	CYB561A3
LOC101684108	NA	NA	NA
LOC101684116	entrez_alias	MKKS	MKKS
LOC101684118	NA	NA	NA
LOC101684120	kristen_mm_hs_ortholog	SPDYE6	SPDYE6
LOC101684135	NA	NA	NA
LOC101684137	kristen_mm_hs_ortholog	OR9I1	OR9I1
LOC101684144	entrez_desc	olfactory receptor 2G3	NA
LOC101684145	NA	NA	NA
LOC101684148	NA	NA	NA
LOC101684149	NA	NA	NA
LOC101684151	NA	NA	NA
LOC101684155	entrez_desc	olfactory receptor 5F1-like	NA
LOC101684158	kristen_mm_hs_ortholog	OR5M3	OR5M3
LOC101684159	kristen_mm_hs_ortholog	Gm49339	Gm49339
LOC101684160	kristen_mm_hs_ortholog	Spata31	Spata31
LOC101693753	entrez_desc	olfactory receptor 10W1-like	NA
LOC101684172	NA	NA	NA
LOC101684178	kristen_mm_hs_ortholog	Hyal6	Hyal6
LOC101684181	entrez_alias	ZFP14	ZFP14
LOC101684183	NA	NA	NA
LOC101684186	entrez_desc	keratin, type I cytoskeletal 15-like	NA
LOC101684189	entrez_desc	short transmembrane mitochondrial protein 1-like	NA
LOC101684206	entrez_desc	olfactory receptor 1G1	NA
LOC101684222	kristen_mm_hs_ortholog	HINT1	HINT1
LOC101684228	entrez_desc	sperm mitochondrial-associated cysteine-rich protein-like	NA
LOC101684229	entrez_alias	SMAGP	SMAGP
LOC101684231	entrez_alias	LGALS7B	LGALS7B
LOC101684243	entrez_desc	olfactory receptor 52A1-like	NA
LOC101684245	NA	NA	NA
LOC101684252	entrez_desc	translation initiation factor IF-2-like	NA
LOC101684254	entrez_desc	probable non-functional immunoglobulin lambda variable 5-48	NA
LOC101684255	entrez_desc	T cell receptor beta constant 1-like	NA
LOC101684259	entrez_desc	olfactory receptor 4P4-like	NA
LOC101684266	NA	NA	NA
LOC101684277	NA	NA	NA
LOC101684283	kristen_mm_hs_ortholog	ZCRB1	ZCRB1
LOC101684287	NA	NA	NA
LOC101684288	NA	NA	NA
LOC101684319	NA	NA	NA
LOC101684324	kristen_mm_hs_ortholog	COX5B	COX5B
LOC101684327	entrez_desc	olfactory receptor 6K3-like	NA
LOC101684328	NA	NA	NA
LOC101684332	kristen_mm_hs_ortholog	Fam47c	Fam47c
LOC101684335	NA	NA	NA
LOC101684337	NA	NA	NA
LOC101684338	NA	NA	NA
LOC101684339	kristen_mm_hs_ortholog	H2BC8	H2BC8
LOC101684149	NA	NA	NA
LOC101684345	NA	NA	NA
LOC101684346	entrez_alias	CDKN2AIP	CDKN2AIP
LOC101684347	entrez_desc	tigger transposable element-derived protein 1-like	NA
LOC101684354	NA	NA	NA
LOC101684357	entrez_desc	olfactory receptor 4A47	NA
LOC101684365	kristen_mm_hs_ortholog	IFNA1	IFNA1
LOC101684369	entrez_desc	probable non-functional T cell receptor gamma variable 11	NA
LOC101684376	NA	NA	NA
LOC101684378	kristen_mm_hs_ortholog	Gstt3	Gstt3
LOC101684387	NA	NA	NA
LOC101684388	entrez_desc	gamma-crystallin F-like	NA
LOC101684416	entrez_alias	ARHGAP11A	ARHGAP11A
LOC101684417	NA	NA	NA
LOC101684431	kristen_mm_hs_ortholog	Olfr1501	Olfr1501
LOC101684438	entrez_desc	T cell receptor alpha variable 9-2-like	NA
LOC101684445	entrez_desc	leukocyte immunoglobulin-like receptor subfamily A member 6	NA
LOC101684449	entrez_desc	olfactory receptor 5F1-like	NA
LOC101684455	NA	NA	NA
LOC101684456	kristen_mm_hs_ortholog	Olfr1370	Olfr1370
LOC101684464	kristen_mm_hs_ortholog	APOO	APOO
LOC101684480	entrez_alias	M1AP	M1AP
LOC101684486	entrez_desc	heterogeneous nuclear ribonucleoprotein C-like	NA
LOC101684492	kristen_mm_hs_ortholog	Teddm3	Teddm3
LOC101684494	kristen_mm_hs_ortholog	OR2AT4	OR2AT4
LOC101684501	kristen_mm_hs_ortholog	Olfr22-ps1	Olfr22-ps1
LOC101684507	NA	NA	NA
LOC101684508	kristen_mm_hs_ortholog	Olfr915	Olfr915
LOC101684509	entrez_alias	SYNCRIP	SYNCRIP
LOC101684518	NA	NA	NA
LOC101684532	entrez_desc	olfactory receptor 52A1	NA
LOC101684535	NA	NA	NA
LOC101684540	NA	NA	NA
LOC101682709	entrez_desc	Ig lambda chain V region 4A-like	NA
LOC101684544	kristen_mm_hs_ortholog	Gm2663	Gm2663
LOC101684547	entrez_desc	importin subunit alpha-1	NA
LOC101684548	kristen_mm_hs_ortholog	OR4C46	OR4C46
LOC101684561	entrez_alias	NRAP	NRAP
LOC101684568	entrez_alias	KRTDAP	KRTDAP
LOC101684571	kristen_mm_hs_ortholog	MEIS3	MEIS3
LOC101684593	entrez_alias	LRRC37A	LRRC37A
LOC101684599	kristen_mm_hs_ortholog	SAA4	SAA4
LOC101684602	NA	NA	NA
LOC101684607	entrez_desc	olfactory receptor 6K3-like	NA
LOC101684608	entrez_alias	ZNF134	ZNF134
LOC101684609	kristen_mm_hs_ortholog	UQCRB	UQCRB
LOC101684615	kristen_mm_hs_ortholog	Fthl17c	Fthl17c
LOC101684616	NA	NA	NA
LOC101684622	NA	NA	NA
LOC101684630	NA	NA	NA
LOC101684632	entrez_desc	olfactory receptor 6C6-like	NA
LOC101684635	kristen_mm_hs_ortholog	Olfr1258	Olfr1258
LOC101684637	entrez_alias	FAM209B	FAM209B
LOC101684645	kristen_mm_hs_ortholog	IFNA1	IFNA1
LOC101684655	entrez_desc	calcium-binding protein P-like	NA
LOC101684666	NA	NA	NA
LOC101684668	entrez_alias	PSAP	PSAP
LOC101684683	kristen_mm_hs_ortholog	CYP2J2	CYP2J2
LOC101684691	entrez_alias	LGALS7	LGALS7
LOC101691317	NA	NA	NA
LOC101684700	kristen_mm_hs_ortholog	OR1S2	OR1S2
LOC101684702	entrez_alias	ELANE	ELANE
LOC101684704	entrez_desc	olfactory receptor 2G2-like	NA
LOC101684715	entrez_desc	olfactory receptor 10AG1-like	NA
LOC101684716	entrez_desc	immunoglobulin heavy variable 3-74-like	NA
LOC101684719	kristen_mm_hs_ortholog	OR5M3	OR5M3
LOC106004701	entrez_desc	Ig heavy chain V-III region 23-like	NA
LOC101684721	entrez_desc	olfactory receptor 14A16-like	NA
LOC101684722	kristen_mm_hs_ortholog	HLA-DQB2	HLA-DQB2
LOC101684723	NA	NA	NA
LOC101684724	entrez_alias	BTNL2	BTNL2
LOC101684739	NA	NA	NA
LOC101684740	NA	NA	NA
LOC101684748	NA	NA	NA
LOC101684751	NA	NA	NA
LOC101684774	kristen_mm_hs_ortholog	TRAT1	TRAT1
LOC101684791	NA	NA	NA
LOC101684799	NA	NA	NA
LOC101684802	NA	NA	NA
LOC101684812	kristen_mm_hs_ortholog	OR52A5	OR52A5
LOC101684819	NA	NA	NA
LOC101684824	NA	NA	NA
LOC101684826	entrez_alias	ZNF280A	ZNF280A
LOC101684827	entrez_alias	TAS2R40	TAS2R40
LOC101684828	entrez_desc	putative olfactory receptor 2W6	NA
LOC101684831	kristen_mm_hs_ortholog	OR4C11	OR4C11
LOC101684833	entrez_desc	zinc finger protein 626-like	NA
LOC101684836	kristen_mm_hs_ortholog	TNFRSF10D	TNFRSF10D
LOC101684847	entrez_alias	AUNIP	AUNIP
LOC101684855	kristen_mm_hs_ortholog	Gstt1	Gstt1
LOC101684859	kristen_mm_hs_ortholog	OR6B3	OR6B3
LOC101684861	entrez_alias	CD33	CD33
LOC101684862	entrez_alias	SLC35A4	SLC35A4
LOC101684879	entrez_alias	FN3KRP	FN3KRP
LOC101684880	entrez_desc	neurturin	NA
LOC101684887	NA	NA	NA
LOC101684900	kristen_mm_hs_ortholog	OR6K6	OR6K6
LOC101684903	kristen_mm_hs_ortholog	Olfr1350	Olfr1350
LOC101684907	kristen_mm_hs_ortholog	Fthl17c	Fthl17c
LOC101684915	kristen_mm_hs_ortholog	Clec2m	Clec2m
LOC101684916	kristen_mm_hs_ortholog	Gm49339	Gm49339
